company,location,salary estimate,hourly,rating,python_yn,spark_yn,azure_yn,aws_yn,excel_yn,machine_learning_yn,job_simpl,seniority,City,Latitude,Longitude
Microsoft,"Redmond, WA",123486,0,4.4,1,0,0,1,0,1,data scientist,junior,Redmond,47.6694141,-122.1238767
UT Southwestern Medical Center,Remote,93500,0,4.0,1,0,0,0,0,1,data scientist,mid,Remote,,
Notion,"New York, NY",137853,0,4.9,1,0,0,0,0,0,data scientist,Senior,New York,40.7127281,-74.0060152
PayPal,"Chicago, IL",109837,0,4.0,1,0,0,0,0,1,data scientist,Senior,Chicago,41.8755616,-87.6244212
"Pomeroy Technologies, LLC.",Remote,110000,0,2.8,0,0,0,0,0,0,data scientist,mid,Remote,,
Delta,"Atlanta, GA",103268,0,4.3,1,0,0,0,0,1,data scientist,junior,Atlanta,33.7489924,-84.3902644
Booz Allen Hamilton,"Alexandria, VA",102817,0,4.2,1,0,0,0,1,1,data scientist,junior,Alexandria,44.83495335,8.745030418605868
Starz,"New York, NY",105016,0,2.9,1,0,0,1,0,1,data scientist,Senior,New York,40.7127281,-74.0060152
TrueChoice Solutions,"Vienna, NY",98706,0,4.0,1,0,0,0,1,1,data analyst,junior,Vienna,48.2083537,16.3725042
Cloud to Street,"Brooklyn, NY",105732,0,5.0,0,0,0,0,0,1,data scientist,Senior,Brooklyn,40.6526006,-73.9497211
Amgen,"Thousand Oaks, CA",93901,0,4.1,1,0,0,0,1,1,data scientist,Senior,Thousand Oaks,34.1705609,-118.8375937
i28 technologies corporation,"Marysville, MI",57500,0,4.2,1,0,0,0,0,0,data scientist,junior,Marysville,48.0517429,-122.1768209
Salesforce,Remote,150200,0,4.4,1,1,0,0,0,1,data scientist,mid,Remote,,
Boston Scientific Corporation,"Marlborough, MA",116444,0,4.2,1,0,1,1,1,1,data scientist,Senior,Marlborough,51.420633,-1.7251743451994652
TikTok,"Seattle, WA",123790,0,3.7,1,0,0,0,1,1,data scientist,Senior,Seattle,47.6038321,-122.330062
Amazon.com Services LLC,"Pittsburgh, PA",113710,0,3.8,1,0,0,0,1,1,data scientist,mid,Pittsburgh,40.4416941,-79.9900861
Loon,"Mountain View, CA",110783,0,4.7,1,0,0,1,0,1,data scientist,mid,Mountain View,37.3893889,-122.0832101
IBM,"New York, NY",114768,0,4.1,1,0,1,1,0,1,data scientist,Senior,New York,40.7127281,-74.0060152
Atlassian,"Mountain View, CA",119046,0,4.7,0,0,0,0,0,1,data scientist,junior,Mountain View,37.3893889,-122.0832101
Augray,"Brookfield, WI",57500,0,4.1,1,0,0,0,0,1,data scientist,junior,Brookfield,43.0578479,-88.1261984
Tetra Tech,"Kingston, RI",95000,0,3.8,1,1,0,0,1,1,data scientist,Senior,Kingston,17.9712148,-76.7928128
Lightcast,"Boston, MA",99067,0,4.4,1,0,0,0,0,1,data scientist,Senior,Boston,42.3554334,-71.060511
StoryFit,"Austin, TX",115874,0,4.4,1,0,0,0,0,1,data scientist,Senior,Austin,30.2711286,-97.7436995
"WhirlWind Technologies, LLC",Remote,98000,0,4.8,1,1,0,0,1,1,data scientist,junior,Remote,,
Amgen,"Thousand Oaks, CA",105700,0,4.1,1,0,0,0,1,1,data scientist,Senior,Thousand Oaks,34.1705609,-118.8375937
Bayer,"Chesterfield, MO",110000,0,4.2,1,0,0,1,0,1,data scientist,Senior,Chesterfield,37.3859982,-77.578509
Federal Reserve Bank of New York,"New York, NY",119109,0,4.5,0,0,0,0,1,1,data scientist,Senior,New York,40.7127281,-74.0060152
Kellogg Company,"Battle Creek, MI",117938,0,3.8,1,0,0,1,0,0,data scientist,Senior,Battle Creek,42.3192548,-85.1824269
Talent Group,Remote,80700,1,1.0,1,1,0,0,0,1,data scientist,mid,Remote,,
AT&T,"Bothell, WA",144000,0,3.7,1,1,0,0,0,1,data scientist,Senior,Bothell,47.7623204,-122.2054035
Anheuser-Busch,"New York, NY",137618,0,3.8,0,0,0,0,0,0,data scientist,Senior,New York,40.7127281,-74.0060152
"US News & World Report ,L.P.","Washington, DC",88385,0,3.8,0,0,0,0,0,0,data scientist,Senior,Washington,38.8950368,-77.0365427
T-Mobile,"Bellevue, WA",98337,0,3.8,0,0,0,0,1,0,data scientist,junior,Bellevue,47.6144219,-122.192337
Roku,"San Jose, CA",158821,0,4.4,1,0,0,0,1,0,data scientist,Senior,San Jose,37.3361663,-121.890591
Violet Ink,Remote,130000,1,4.2,1,1,1,1,0,1,data scientist,mid,Remote,,
ADG Tech Consulting,Remote,120000,1,4.2,1,0,1,0,1,1,data scientist,Senior,Remote,,
Slack,Remote,150200,0,4.5,1,1,0,0,0,1,data scientist,mid,Remote,,
IBM,"Baton Rouge, LA",70785,0,4.1,1,1,1,1,0,1,data engineer,junior,Baton Rouge,30.4494155,-91.1869659
Allscripts,"Boston, MA",99762,0,3.9,1,1,1,0,0,1,data scientist,junior,Boston,42.3554334,-71.060511
The Trade Desk,"New York, NY",115151,0,4.2,1,1,0,1,0,1,data scientist,Senior,New York,40.7127281,-74.0060152
Yelp,Remote,158000,0,3.5,1,0,0,0,0,1,data scientist,Senior,Remote,,
Waymo,"Mountain View, CA",140505,0,4.0,1,0,0,0,1,1,data scientist,mid,Mountain View,37.3893889,-122.0832101
HERSHEY MX,"Hershey, PA",83212,0,3.9,1,0,0,0,1,1,data scientist,Senior,Hershey,40.2854881,-76.6506001
mpathic.ai,Remote,140000,0,5.0,1,0,0,1,0,1,data scientist,Senior,Remote,,
Data Tecnica,"Glen Echo, MD",98828,0,5.0,1,0,0,0,0,1,data scientist,mid,Glen Echo,38.9693961,-77.1420877
Liberty Mutual Insurance,Remote,124750,0,3.9,1,0,0,0,1,1,data scientist,mid,Remote,,
Apptrics LLC,Remote,190000,1,5.0,1,0,0,0,0,1,data scientist,Senior,Remote,,
BASF Corporation,"Morrisville, NC",100000,1,4.1,1,0,0,0,1,1,data scientist,junior,Morrisville,47.88338804999999,-55.76861996265019
US Department of Energy - Agency Wide,"Wallops Island, VA",110520,0,4.1,1,0,0,1,0,1,data scientist,Senior,Wallops Island,37.88387115,-75.45616657057555
OPENMIND TECHNOLOGIES INC,Remote,190000,1,4.2,1,1,0,0,1,1,data scientist,mid,Remote,,
Johnson & Johnson,"Raritan, NJ",80173,0,4.2,1,0,0,0,1,1,data scientist,mid,Raritan,40.6958732,-90.8273591
Anno.Ai,"Washington, DC",95695,0,2.0,1,1,0,0,1,1,data scientist,Senior,Washington,38.8950368,-77.0365427
Activision,"Santa Monica, CA",133699,0,3.5,1,1,0,0,0,0,data scientist,Senior,Santa Monica,34.0194704,-118.491227
Netflix,"Los Gatos, CA",142470,0,4.3,1,0,0,0,0,1,data scientist,Senior,Los Gatos,37.226611,-121.9746797
PLAXONIC,"Edison, NJ",130000,0,4.6,1,0,0,0,0,1,data scientist,Senior,Edison,40.518157,-74.4113926
FullStack Labs,"Jacksonville, FL",89862,0,4.7,0,0,1,1,0,0,data scientist,Senior,Jacksonville,30.3321838,-81.655651
Corteva Agriscience,"Des Moines, IA",89838,0,4.0,1,0,0,1,0,1,data analyst,Senior,Des Moines,41.5868654,-93.6249494
Ford Motor Company,"Dearborn, MI",95490,0,4.1,1,0,0,0,1,0,data scientist,Senior,Dearborn,42.3222599,-83.1763145
"Amazon Web Services, Inc.",Remote,191100,0,3.8,1,0,0,1,0,0,data scientist,Senior,Remote,,
"Amazon Web Services, Inc.",Remote,191100,0,3.8,1,0,0,1,0,0,data scientist,Senior,Remote,,
Allstate,Remote,144000,0,3.5,1,1,0,1,1,1,data scientist,Senior,Remote,,
Acquisition Solution,"Arlington, VA",104846,0,4.1,1,0,0,0,0,1,data scientist,Senior,Arlington,32.7355816,-97.1071186
UC San Diego,"San Diego, CA",83250,0,4.2,1,0,0,0,1,0,data scientist,junior,San Diego,32.7174202,-117.162772
Veracity Software,"Iselin, NJ",90061,0,4.1,1,0,0,0,0,1,data scientist,junior,Iselin,40.569335,-74.31511249016258
Alldus International Consulting Ltd,Remote,185000,0,4.7,1,0,0,0,0,0,data scientist,Senior,Remote,,
Radiant,Remote,170000,1,3.7,0,0,0,0,0,0,data scientist,mid,Remote,,
Twitch,"San Francisco, CA",160000,0,4.0,1,0,0,0,1,0,data scientist,Senior,San Francisco,37.7792588,-122.4193286
Match Inc,Remote,190000,1,3.0,1,0,0,0,1,1,data scientist,Senior,Remote,,
IBM,"Monroe, LA",113644,0,4.1,1,0,1,1,0,1,data scientist,Senior,Monroe,41.0400423,-75.3249475
MIT Lincoln Laboratory,"Lexington, MA",96449,0,4.3,0,0,0,0,0,0,data scientist,junior,Lexington,38.0464066,-84.4970393
"JPMorgan Chase Bank, N.A.","Plano, TX",102469,0,3.8,0,0,0,0,1,1,data scientist,Senior,Plano,33.0136764,-96.6925096
SAIF,Remote,10013,0,3.6,1,0,0,0,0,1,data scientist,mid,Remote,,
Stanford Health Care,"Palo Alto, CA",134898,0,4.0,1,0,0,0,1,1,data scientist,Senior,Palo Alto,37.4443293,-122.1598465
Ibotta,"Denver, CO",185000,0,3.8,1,1,0,0,1,1,data scientist,Senior,Denver,39.7392364,-104.984862
Radiant,Remote,170000,1,3.7,0,0,0,0,0,0,data scientist,mid,Remote,,
Occam Solutions,"Tampa, FL",99218,0,3.9,1,0,0,0,0,0,data scientist,Senior,Tampa,27.9477595,-82.458444
Expert Technical Solutions,Remote,160000,0,5.0,1,0,1,1,0,1,data scientist,mid,Remote,,
FriendFinder Networks,Remote,115000,0,2.8,1,0,0,0,1,1,data scientist,Senior,Remote,,
eBay Inc.,"San Francisco, CA",149627,0,4.1,0,0,0,0,0,1,data scientist,mid,San Francisco,37.7792588,-122.4193286
Faire,"San Francisco, CA",132791,0,4.8,0,0,0,0,0,1,data scientist,Senior,San Francisco,37.7792588,-122.4193286
Braintrust,Remote,170000,1,4.6,1,0,1,0,0,0,data engineer,Senior,Remote,,
Vision,Remote,134321,0,3.8,1,0,1,1,1,1,data scientist,Senior,Remote,,
LeanTaaS,"Santa Clara, CA",116987,0,3.9,1,0,0,1,0,1,data scientist,mid,Santa Clara,37.2333253,-121.6846349
Boston Scientific Corporation,"Arden Hills, MN",113641,0,4.2,1,0,1,0,0,0,data scientist,Senior,Arden Hills,45.0761409,-93.1666945
Longevity InTime,Remote,125000,0,3.9,1,0,0,0,0,0,data scientist,Senior,Remote,,
Improvix Technologies,"Reston, VA",92169,0,4.6,1,1,0,1,0,0,data scientist,mid,Reston,38.9583737,-77.3579805
Logistics Management Institute,"Camp Lejeune, NC",96278,0,4.2,1,0,0,0,0,1,data scientist,junior,Camp Lejeune,34.63973385,-77.34183480015744
Beck's Hybrids,"Atlanta, IN",94485,0,4.7,1,0,0,0,0,1,data scientist,mid,Atlanta,33.7489924,-84.3902644
Amex,"New York, NY",127500,0,4.3,1,0,0,0,1,1,data scientist,Senior,New York,40.7127281,-74.0060152
Sysco,"Houston, TX",94113,0,3.2,1,0,0,0,0,0,data scientist,Senior,Houston,29.7589382,-95.3676974
Aptara,"Pomona, CA",56280,1,3.4,1,0,0,0,0,0,data scientist,mid,Pomona,34.0553813,-117.7517496
Expert Technical Solutions,Remote,160000,0,5.0,1,0,1,1,0,1,data scientist,mid,Remote,,
Amex,"New York, NY",127500,0,4.3,1,0,0,0,1,1,data scientist,Senior,New York,40.7127281,-74.0060152
JPL/NASA,"Pasadena, CA",131287,0,4.5,1,0,0,0,1,1,data scientist,Senior,Pasadena,34.1476507,-118.144155
Plymouth Rock Assurance,"Woodbridge, NJ",98694,0,3.2,0,0,0,0,1,0,data scientist,Senior,Woodbridge,38.6361522,-77.26783643627006
Devcare Solutions,Remote,125000,1,3.6,0,0,0,0,0,0,data scientist,Senior,Remote,,
ABC Legal Services,"Seattle, WA",70000,0,2.8,1,0,0,1,0,1,data scientist,Senior,Seattle,47.6038321,-122.330062
Lyra Health,"Burlingame, CA",113885,0,4.5,1,0,0,0,0,0,data scientist,Senior,Burlingame,37.5780965,-122.3473099
Sepion Technologies,"Emeryville, CA",134163,0,5.0,1,0,0,1,1,1,data scientist,Senior,Emeryville,37.8314089,-122.2865266
KeyBank,Remote,92500,0,3.8,1,0,1,1,1,1,data scientist,Senior,Remote,,
Corteva Agriscience,"Indianapolis, IN",110963,0,4.0,0,0,0,0,1,1,data scientist,Senior,Indianapolis,39.7683331,-86.1583502
BD,"Franklin Lakes, NJ",99003,0,3.9,1,1,1,1,1,1,data scientist,Senior,Franklin Lakes,41.0167639,-74.2057012
Veho,Remote,176634,0,3.3,1,1,0,0,0,1,data scientist,Senior,Remote,,
Swyfft,"New York, NY",126425,0,4.1,1,0,0,0,0,1,data scientist,Senior,New York,40.7127281,-74.0060152
Virginia Tech Applied Research Corporation,"Chantilly, VA",80947,0,3.4,1,0,0,0,0,0,data scientist,junior,Chantilly,49.1931736,2.4636686
Ibotta,"Denver, CO",125000,0,3.8,1,1,0,0,0,1,data scientist,Senior,Denver,39.7392364,-104.984862
PacArctic LLC,"Washington, DC",103789,0,4.5,1,0,0,0,0,0,data scientist,junior,Washington,38.8950368,-77.0365427
3M,"Maplewood, MN",105654,0,3.8,0,0,1,1,1,1,data scientist,Senior,Maplewood,45.0082216,-93.0456985
Altak Group,Remote,155000,1,2.0,1,0,0,0,1,1,data scientist,Senior,Remote,,
Microsoft,"Redmond, WA",123486,0,4.4,1,0,0,1,0,1,data scientist,junior,Redmond,47.6694141,-122.1238767
UT Southwestern Medical Center,Remote,93500,0,4.0,1,0,0,0,0,1,data scientist,mid,Remote,,
Notion,"New York, NY",137853,0,4.9,1,0,0,0,0,0,data scientist,Senior,New York,40.7127281,-74.0060152
PayPal,"Chicago, IL",109837,0,4.0,1,0,0,0,0,1,data scientist,Senior,Chicago,41.8755616,-87.6244212
"Pomeroy Technologies, LLC.",Remote,110000,0,2.8,0,0,0,0,0,0,data scientist,mid,Remote,,
Delta,"Atlanta, GA",103268,0,4.3,1,0,0,0,0,1,data scientist,junior,Atlanta,33.7489924,-84.3902644
TrueChoice Solutions,"Vienna, NY",98706,0,4.0,1,0,0,0,1,1,data analyst,junior,Vienna,48.2083537,16.3725042
Booz Allen Hamilton,"Alexandria, VA",102817,0,4.2,1,0,0,0,1,1,data scientist,junior,Alexandria,44.83495335,8.745030418605868
Cloud to Street,"Brooklyn, NY",105732,0,5.0,0,0,0,0,0,1,data scientist,Senior,Brooklyn,40.6526006,-73.9497211
Starz,"New York, NY",105016,0,2.9,1,0,0,1,0,1,data scientist,Senior,New York,40.7127281,-74.0060152
Salesforce,Remote,150200,0,4.4,1,1,0,0,0,1,data scientist,mid,Remote,,
Amgen,"Thousand Oaks, CA",93901,0,4.1,1,0,0,0,1,1,data scientist,Senior,Thousand Oaks,34.1705609,-118.8375937
i28 technologies corporation,"Marysville, MI",57500,0,4.2,1,0,0,0,0,0,data scientist,junior,Marysville,48.0517429,-122.1768209
Boston Scientific Corporation,"Marlborough, MA",116444,0,4.2,1,0,1,1,1,1,data scientist,Senior,Marlborough,51.420633,-1.7251743451994652
TikTok,"Seattle, WA",123790,0,3.7,1,0,0,0,1,1,data scientist,Senior,Seattle,47.6038321,-122.330062
Amazon.com Services LLC,"Pittsburgh, PA",113710,0,3.8,1,0,0,0,1,1,data scientist,mid,Pittsburgh,40.4416941,-79.9900861
IBM,"New York, NY",114768,0,4.1,1,0,1,1,0,1,data scientist,Senior,New York,40.7127281,-74.0060152
Loon,"Mountain View, CA",110783,0,4.7,1,0,0,1,0,1,data scientist,mid,Mountain View,37.3893889,-122.0832101
Microsoft,"Redmond, WA",123486,0,4.4,1,0,0,1,0,1,data scientist,junior,Redmond,47.6694141,-122.1238767
UT Southwestern Medical Center,Remote,93500,0,4.0,1,0,0,0,0,1,data scientist,mid,Remote,,
Notion,"New York, NY",137853,0,4.9,1,0,0,0,0,0,data scientist,Senior,New York,40.7127281,-74.0060152
PayPal,"Chicago, IL",109837,0,4.0,1,0,0,0,0,1,data scientist,Senior,Chicago,41.8755616,-87.6244212
"Pomeroy Technologies, LLC.",Remote,110000,0,2.8,0,0,0,0,0,0,data scientist,mid,Remote,,
Delta,"Atlanta, GA",103268,0,4.3,1,0,0,0,0,1,data scientist,junior,Atlanta,33.7489924,-84.3902644
TrueChoice Solutions,"Vienna, NY",98706,0,4.0,1,0,0,0,1,1,data analyst,junior,Vienna,48.2083537,16.3725042
Booz Allen Hamilton,"Alexandria, VA",102817,0,4.2,1,0,0,0,1,1,data scientist,junior,Alexandria,44.83495335,8.745030418605868
Cloud to Street,"Brooklyn, NY",105732,0,5.0,0,0,0,0,0,1,data scientist,Senior,Brooklyn,40.6526006,-73.9497211
Starz,"New York, NY",105016,0,2.9,1,0,0,1,0,1,data scientist,Senior,New York,40.7127281,-74.0060152
Salesforce,Remote,150200,0,4.4,1,1,0,0,0,1,data scientist,mid,Remote,,
Amgen,"Thousand Oaks, CA",93901,0,4.1,1,0,0,0,1,1,data scientist,Senior,Thousand Oaks,34.1705609,-118.8375937
i28 technologies corporation,"Marysville, MI",57500,0,4.2,1,0,0,0,0,0,data scientist,junior,Marysville,48.0517429,-122.1768209
Boston Scientific Corporation,"Marlborough, MA",116444,0,4.2,1,0,1,1,1,1,data scientist,Senior,Marlborough,51.420633,-1.7251743451994652
TikTok,"Seattle, WA",123790,0,3.7,1,0,0,0,1,1,data scientist,Senior,Seattle,47.6038321,-122.330062
